Gene stable ID,Transcript stable ID,Gene description,Gene name,Transcript name
ENSMUSG00000023973,ENSMUST00000121671,canopy FGF signaling regulator 3 [Source:MGI Symbol;Acc:MGI:1919279],Cnpy3,Cnpy3-202
ENSMUSG00000023973,ENSMUST00000148656,canopy FGF signaling regulator 3 [Source:MGI Symbol;Acc:MGI:1919279],Cnpy3,Cnpy3-205
ENSMUSG00000082563,ENSMUST00000119219,predicted gene 15026 [Source:MGI Symbol;Acc:MGI:3705439],Gm15026,Gm15026-201
ENSMUSG00000080953,ENSMUST00000118434,predicted gene 15025 [Source:MGI Symbol;Acc:MGI:3705381],Gm15025,Gm15025-201
ENSMUSG00000048155,ENSMUST00000059808,H2B.W histone 2 [Source:MGI Symbol;Acc:MGI:1916639],H2bw2,H2bw2-201
ENSMUSG00000053613,ENSMUST00000151998,"notum palmitoleoyl-protein carboxylesterase, opposite strand [Source:MGI Symbol;Acc:MGI:3698431]",Notumos,Notumos-201
ENSMUSG00000081295,ENSMUST00000118971,predicted gene 6275 [Source:MGI Symbol;Acc:MGI:3645368],Gm6275,Gm6275-201
ENSMUSG00000036309,ENSMUST00000147684,S-phase kinase-associated protein 1 [Source:MGI Symbol;Acc:MGI:103575],Skp1,Skp1-205
ENSMUSG00000036309,ENSMUST00000037324,S-phase kinase-associated protein 1 [Source:MGI Symbol;Acc:MGI:103575],Skp1,Skp1-201
ENSMUSG00000036309,ENSMUST00000093121,S-phase kinase-associated protein 1 [Source:MGI Symbol;Acc:MGI:103575],Skp1,Skp1-202
ENSMUSG00000036309,ENSMUST00000166537,S-phase kinase-associated protein 1 [Source:MGI Symbol;Acc:MGI:103575],Skp1,Skp1-206
ENSMUSG00000036309,ENSMUST00000109072,S-phase kinase-associated protein 1 [Source:MGI Symbol;Acc:MGI:103575],Skp1,Skp1-203
ENSMUSG00000036309,ENSMUST00000116595,S-phase kinase-associated protein 1 [Source:MGI Symbol;Acc:MGI:103575],Skp1,Skp1-204
ENSMUSG00000060950,ENSMUST00000221089,tRNA methyltransferase 61A [Source:MGI Symbol;Acc:MGI:2443487],Trmt61a,Trmt61a-203
ENSMUSG00000060950,ENSMUST00000084947,tRNA methyltransferase 61A [Source:MGI Symbol;Acc:MGI:2443487],Trmt61a,Trmt61a-201
ENSMUSG00000060950,ENSMUST00000168338,tRNA methyltransferase 61A [Source:MGI Symbol;Acc:MGI:2443487],Trmt61a,Trmt61a-202
ENSMUSG00000060950,ENSMUST00000222737,tRNA methyltransferase 61A [Source:MGI Symbol;Acc:MGI:2443487],Trmt61a,Trmt61a-204
ENSMUSG00000051154,ENSMUST00000061158,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-201
ENSMUSG00000051154,ENSMUST00000151974,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-210
ENSMUSG00000051154,ENSMUST00000133828,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-205
ENSMUSG00000051154,ENSMUST00000154519,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-211
ENSMUSG00000051154,ENSMUST00000137317,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-206
ENSMUSG00000051154,ENSMUST00000131369,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-203
ENSMUSG00000051154,ENSMUST00000133685,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-204
ENSMUSG00000051154,ENSMUST00000137817,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-207
ENSMUSG00000051154,ENSMUST00000130537,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-202
ENSMUSG00000051154,ENSMUST00000150590,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-208
ENSMUSG00000051154,ENSMUST00000151230,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-209
ENSMUSG00000051154,ENSMUST00000171845,COMM domain containing 3 [Source:MGI Symbol;Acc:MGI:88218],Commd3,Commd3-212
ENSMUSG00000072955,ENSMUST00000127404,thymosin beta 15b like [Source:MGI Symbol;Acc:MGI:3026988],Tmsb15l,Tmsb15l-201
ENSMUSG00000093474,ENSMUST00000175833,"vomeronasal 2, receptor, pseudogene 12 [Source:MGI Symbol;Acc:MGI:3757944]",Vmn2r-ps12,Vmn2r-ps12-201
ENSMUSG00000088824,ENSMUST00000158199,"predicted gene, 25222 [Source:MGI Symbol;Acc:MGI:5454999]",Gm25222,Gm25222-201
ENSMUSG00000093767,ENSMUST00000176920,"vomeronasal 2, receptor, pseudogene 13 [Source:MGI Symbol;Acc:MGI:3757946]",Vmn2r-ps13,Vmn2r-ps13-201
ENSMUSG00000022803,ENSMUST00000023494,popeye domain containing 2 [Source:MGI Symbol;Acc:MGI:1930150],Popdc2,Popdc2-201
ENSMUSG00000022803,ENSMUST00000114739,popeye domain containing 2 [Source:MGI Symbol;Acc:MGI:1930150],Popdc2,Popdc2-202
ENSMUSG00000022803,ENSMUST00000141189,popeye domain containing 2 [Source:MGI Symbol;Acc:MGI:1930150],Popdc2,Popdc2-204
ENSMUSG00000022803,ENSMUST00000127892,popeye domain containing 2 [Source:MGI Symbol;Acc:MGI:1930150],Popdc2,Popdc2-203
ENSMUSG00000022803,ENSMUST00000146342,popeye domain containing 2 [Source:MGI Symbol;Acc:MGI:1930150],Popdc2,Popdc2-205
ENSMUSG00000040896,ENSMUST00000098761,"potassium voltage-gated channel, Shal-related family, member 3 [Source:MGI Symbol;Acc:MGI:1928743]",Kcnd3,Kcnd3-202
ENSMUSG00000040896,ENSMUST00000141694,"potassium voltage-gated channel, Shal-related family, member 3 [Source:MGI Symbol;Acc:MGI:1928743]",Kcnd3,Kcnd3-204
ENSMUSG00000040896,ENSMUST00000118360,"potassium voltage-gated channel, Shal-related family, member 3 [Source:MGI Symbol;Acc:MGI:1928743]",Kcnd3,Kcnd3-203
ENSMUSG00000040896,ENSMUST00000147209,"potassium voltage-gated channel, Shal-related family, member 3 [Source:MGI Symbol;Acc:MGI:1928743]",Kcnd3,Kcnd3-205
ENSMUSG00000040896,ENSMUST00000079169,"potassium voltage-gated channel, Shal-related family, member 3 [Source:MGI Symbol;Acc:MGI:1928743]",Kcnd3,Kcnd3-201
ENSMUSG00000089996,ENSMUST00000069803,thymosin beta 15b2 [Source:MGI Symbol;Acc:MGI:3843061],Tmsb15b2,Tmsb15b2-201
ENSMUSG00000089996,ENSMUST00000180194,thymosin beta 15b2 [Source:MGI Symbol;Acc:MGI:3843061],Tmsb15b2,Tmsb15b2-202
ENSMUSG00000119895,ENSMUST00000240065,"predicted gene, 22513 [Source:MGI Symbol;Acc:MGI:5452290]",Gm22513,Gm22513-201
ENSMUSG00000072255,ENSMUST00000097040,"ribosomal protein L31, pseudogene 17 [Source:MGI Symbol;Acc:MGI:3648194]",Rpl31-ps17,Rpl31-ps17-201
ENSMUSG00000036251,ENSMUST00000148138,"transient receptor potential cation channel, subfamily M, member 8 [Source:MGI Symbol;Acc:MGI:2181435]",Trpm8,Trpm8-203
ENSMUSG00000036251,ENSMUST00000113114,"transient receptor potential cation channel, subfamily M, member 8 [Source:MGI Symbol;Acc:MGI:2181435]",Trpm8,Trpm8-202
ENSMUSG00000036251,ENSMUST00000040210,"transient receptor potential cation channel, subfamily M, member 8 [Source:MGI Symbol;Acc:MGI:2181435]",Trpm8,Trpm8-201
ENSMUSG00000036251,ENSMUST00000171176,"transient receptor potential cation channel, subfamily M, member 8 [Source:MGI Symbol;Acc:MGI:2181435]",Trpm8,Trpm8-204
ENSMUSG00000089768,ENSMUST00000113071,thymosin beta 15b1 [Source:MGI Symbol;Acc:MGI:3843059],Tmsb15b1,Tmsb15b1-201
ENSMUSG00000111904,ENSMUST00000217896,predicted gene 2395 [Source:MGI Symbol;Acc:MGI:3780563],Gm2395,Gm2395-201
ENSMUSG00000118864,ENSMUST00001239507,"predicted gene, 25679 [Source:MGI Symbol;Acc:MGI:5455456]",Gm25679,Gm25679-201
ENSMUSG00000118751,ENSMUST00000240287,"predicted gene, 26444 [Source:MGI Symbol;Acc:MGI:5456221]",Gm26444,Gm26444-201
ENSMUSG00000112186,ENSMUST00000219097,predicted gene 2412 [Source:MGI Symbol;Acc:MGI:3780579],Gm2412,Gm2412-201
ENSMUSG00000119670,ENSMUST00000240177,"predicted gene, 24305 [Source:MGI Symbol;Acc:MGI:5454082]",Gm24305,Gm24305-201
ENSMUSG00000119206,ENSMUST00000179675,"predicted gene, 22317 [Source:MGI Symbol;Acc:MGI:5452094]",Gm22317,Gm22317-201
ENSMUSG00000044348,ENSMUST00000113069,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-202
ENSMUSG00000044348,ENSMUST00000171738,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-214
ENSMUSG00000044348,ENSMUST00000113070,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-203
ENSMUSG00000044348,ENSMUST00000056674,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-201
ENSMUSG00000044348,ENSMUST00000129807,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-207
ENSMUSG00000044348,ENSMUST00000154484,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-213
ENSMUSG00000044348,ENSMUST00000145842,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-211
ENSMUSG00000044348,ENSMUST00000125747,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-205
ENSMUSG00000044348,ENSMUST00000123516,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-204
ENSMUSG00000044348,ENSMUST00000136300,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-209
ENSMUSG00000044348,ENSMUST00000148253,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-212
ENSMUSG00000044348,ENSMUST00000125864,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-206
ENSMUSG00000044348,ENSMUST00000132171,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-208
ENSMUSG00000044348,ENSMUST00000140615,"solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]",Slc25a53,Slc25a53-210
ENSMUSG00000005656,ENSMUST00000005798,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-201
ENSMUSG00000005656,ENSMUST00000218934,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-204
ENSMUSG00000005656,ENSMUST00000219722,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-206
ENSMUSG00000005656,ENSMUST00000219781,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-207
ENSMUSG00000005656,ENSMUST00000218337,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-203
ENSMUSG00000005656,ENSMUST00000218066,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-202
ENSMUSG00000005656,ENSMUST00000219302,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-205
ENSMUSG00000005656,ENSMUST00000219865,sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433],Snx6,Snx6-208
ENSMUSG00000085333,ENSMUST00000125317,RIKEN cDNA 1700030A11 gene [Source:MGI Symbol;Acc:MGI:1921429],1700030A11Rik,1700030A11Rik-201
ENSMUSG00000002847,ENSMUST00000002926,phospholipase A1 member A [Source:MGI Symbol;Acc:MGI:1934677],Pla1a,Pla1a-201
ENSMUSG00000002847,ENSMUST00000232224,phospholipase A1 member A [Source:MGI Symbol;Acc:MGI:1934677],Pla1a,Pla1a-202
ENSMUSG00000087693,ENSMUST00000148464,predicted gene 16191 [Source:MGI Symbol;Acc:MGI:3801759],Gm16191,Gm16191-202
ENSMUSG00000087693,ENSMUST00000141445,predicted gene 16191 [Source:MGI Symbol;Acc:MGI:3801759],Gm16191,Gm16191-201
ENSMUSG00000036858,ENSMUST00000041012,pre T cell antigen receptor alpha [Source:MGI Symbol;Acc:MGI:104857],Ptcra,Ptcra-201
ENSMUSG00000086920,ENSMUST00000143016,predicted gene 12207 [Source:MGI Symbol;Acc:MGI:3702399],Gm12207,Gm12207-201
ENSMUSG00000113037,ENSMUST00000221947,"predicted gene, 36550 [Source:MGI Symbol;Acc:MGI:5595709]",Gm36550,Gm36550-201
ENSMUSG00000021381,ENSMUST00000021813,BarH-like homeobox 1 [Source:MGI Symbol;Acc:MGI:103124],Barx1,Barx1-201
ENSMUSG00000000782,ENSMUST00000086844,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",Tcf7,Tcf7-201
ENSMUSG00000000782,ENSMUST00000109071,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",Tcf7,Tcf7-202
ENSMUSG00000000782,ENSMUST00000238914,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",Tcf7,Tcf7-203
ENSMUSG00000062619,ENSMUST00000071430,RIKEN cDNA 2310039H08 gene [Source:MGI Symbol;Acc:MGI:1914351],2310039H08Rik,2310039H08Rik-201
ENSMUSG00000045378,ENSMUST00000051526,"peroxisomal, testis specific 1 [Source:MGI Symbol;Acc:MGI:1916557]",Pxt1,Pxt1-201
ENSMUSG00000045378,ENSMUST00000233413,"peroxisomal, testis specific 1 [Source:MGI Symbol;Acc:MGI:1916557]",Pxt1,Pxt1-203
ENSMUSG00000045378,ENSMUST00000232977,"peroxisomal, testis specific 1 [Source:MGI Symbol;Acc:MGI:1916557]",Pxt1,Pxt1-202
ENSMUSG00000002844,ENSMUST00000002923,ADP-ribosylarginine hydrolase [Source:MGI Symbol;Acc:MGI:1098234],Adprh,Adprh-201
ENSMUSG00000002844,ENSMUST00000232145,ADP-ribosylarginine hydrolase [Source:MGI Symbol;Acc:MGI:1098234],Adprh,Adprh-202
ENSMUSG00000117116,ENSMUST00000233293,"predicted gene, 49868 [Source:MGI Symbol;Acc:MGI:6270543]",Gm49868,Gm49868-201
ENSMUSG00000098692,ENSMUST00000166080,"predicted gene, 28041 [Source:MGI Symbol;Acc:MGI:5547777]",Gm28041,Gm28041-201
ENSMUSG00000097576,ENSMUST00000180735,RIKEN cDNA D930030I03 gene [Source:MGI Symbol;Acc:MGI:2444245],D930030I03Rik,D930030I03Rik-201
ENSMUSG00000097576,ENSMUST00000231660,RIKEN cDNA D930030I03 gene [Source:MGI Symbol;Acc:MGI:2444245],D930030I03Rik,D930030I03Rik-202
ENSMUSG00000097576,ENSMUST00000242694,RIKEN cDNA D930030I03 gene [Source:MGI Symbol;Acc:MGI:2444245],D930030I03Rik,D930030I03Rik-203
ENSMUSG00000117080,ENSMUST00000233094,RIKEN cDNA 1700063J08 gene [Source:MGI Symbol;Acc:MGI:1920700],1700063J08Rik,1700063J08Rik-201
ENSMUSG00000000827,ENSMUST00000184588,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-211
ENSMUSG00000000827,ENSMUST00000183956,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-210
ENSMUSG00000000827,ENSMUST00000149163,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-208
ENSMUSG00000000827,ENSMUST00000000844,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-201
ENSMUSG00000000827,ENSMUST00000184849,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-212
ENSMUSG00000000827,ENSMUST00000108800,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-204
ENSMUSG00000000827,ENSMUST00000069712,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-202
ENSMUSG00000000827,ENSMUST00000129390,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-205
ENSMUSG00000000827,ENSMUST00000108799,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-203
ENSMUSG00000000827,ENSMUST00000141825,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-207
ENSMUSG00000000827,ENSMUST00000155589,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-209
ENSMUSG00000000827,ENSMUST00000130261,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564],Tpd52l2,Tpd52l2-206
ENSMUSG00000092103,ENSMUST00000165145,predicted gene 17039 [Source:MGI Symbol;Acc:MGI:4937866],Gm17039,Gm17039-201
ENSMUSG00000063888,ENSMUST00000078286,ribosomal protein L7-like 1 [Source:MGI Symbol;Acc:MGI:1913479],Rpl7l1,Rpl7l1-201
ENSMUSG00000063888,ENSMUST00000233192,ribosomal protein L7-like 1 [Source:MGI Symbol;Acc:MGI:1913479],Rpl7l1,Rpl7l1-202
ENSMUSG00000063888,ENSMUST00000233349,ribosomal protein L7-like 1 [Source:MGI Symbol;Acc:MGI:1913479],Rpl7l1,Rpl7l1-203
ENSMUSG00000063888,ENSMUST00000233919,ribosomal protein L7-like 1 [Source:MGI Symbol;Acc:MGI:1913479],Rpl7l1,Rpl7l1-204
ENSMUSG00000109024,ENSMUST00000208529,"predicted gene, 18063 [Source:MGI Symbol;Acc:MGI:5010248]",Gm18063,Gm18063-201
ENSMUSG00000075122,ENSMUST00000231716,CD80 antigen [Source:MGI Symbol;Acc:MGI:101775],Cd80,Cd80-202
ENSMUSG00000075122,ENSMUST00000099816,CD80 antigen [Source:MGI Symbol;Acc:MGI:101775],Cd80,Cd80-201
ENSMUSG00000075122,ENSMUST00000232409,CD80 antigen [Source:MGI Symbol;Acc:MGI:101775],Cd80,Cd80-203
ENSMUSG00000094682,ENSMUST00000191169,predicted gene 6902 [Source:MGI Symbol;Acc:MGI:3647238],Gm6902,Gm6902-202
ENSMUSG00000094682,ENSMUST00000179072,predicted gene 6902 [Source:MGI Symbol;Acc:MGI:3647238],Gm6902,Gm6902-201
ENSMUSG00000078995,ENSMUST00000172266,zinc finger protein 456 [Source:MGI Symbol;Acc:MGI:3040694],Zfp456,Zfp456-202
ENSMUSG00000078995,ENSMUST00000057070,zinc finger protein 456 [Source:MGI Symbol;Acc:MGI:3040694],Zfp456,Zfp456-201
ENSMUSG00000078995,ENSMUST00000225787,zinc finger protein 456 [Source:MGI Symbol;Acc:MGI:3040694],Zfp456,Zfp456-203
ENSMUSG00000109425,ENSMUST00000208272,"predicted gene, 18471 [Source:MGI Symbol;Acc:MGI:5010656]",Gm18471,Gm18471-201
ENSMUSG00000039883,ENSMUST00000199277,leucine rich repeat containing 17 [Source:MGI Symbol;Acc:MGI:1921761],Lrrc17,Lrrc17-202
ENSMUSG00000039883,ENSMUST00000035651,leucine rich repeat containing 17 [Source:MGI Symbol;Acc:MGI:1921761],Lrrc17,Lrrc17-201
ENSMUSG00000035623,ENSMUST00000205536,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-207
ENSMUSG00000035623,ENSMUST00000156060,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-206
ENSMUSG00000035623,ENSMUST00000107153,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-201
ENSMUSG00000035623,ENSMUST00000127891,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-203
ENSMUSG00000035623,ENSMUST00000206866,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-208
ENSMUSG00000035623,ENSMUST00000123731,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-202
ENSMUSG00000035623,ENSMUST00000150288,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-205
ENSMUSG00000035623,ENSMUST00000135270,remodeling and spacing factor 1 [Source:MGI Symbol;Acc:MGI:2682305],Rsf1,Rsf1-204
ENSMUSG00000105753,ENSMUST00000200070,predicted gene 43847 [Source:MGI Symbol;Acc:MGI:5663984],Gm43847,Gm43847-201
ENSMUSG00000027953,ENSMUST00000185119,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-209
ENSMUSG00000027953,ENSMUST00000107460,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-202
ENSMUSG00000027953,ENSMUST00000132445,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-205
ENSMUSG00000027953,ENSMUST00000133575,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-206
ENSMUSG00000027953,ENSMUST00000029565,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-201
ENSMUSG00000027953,ENSMUST00000144777,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-207
ENSMUSG00000027953,ENSMUST00000148095,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-208
ENSMUSG00000027953,ENSMUST00000130230,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-203
ENSMUSG00000027953,ENSMUST00000130690,"solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]",Slc50a1,Slc50a1-204
ENSMUSG00000106135,ENSMUST00000197353,predicted gene 6543 [Source:MGI Symbol;Acc:MGI:3644322],Gm6543,Gm6543-201
ENSMUSG00000078994,ENSMUST00000224684,zinc finger protein 429 [Source:MGI Symbol;Acc:MGI:1920057],Zfp429,Zfp429-203
ENSMUSG00000078994,ENSMUST00000109732,zinc finger protein 429 [Source:MGI Symbol;Acc:MGI:1920057],Zfp429,Zfp429-201
ENSMUSG00000078994,ENSMUST00000181071,zinc finger protein 429 [Source:MGI Symbol;Acc:MGI:1920057],Zfp429,Zfp429-202
ENSMUSG00000078994,ENSMUST00000224825,zinc finger protein 429 [Source:MGI Symbol;Acc:MGI:1920057],Zfp429,Zfp429-204
ENSMUSG00000106294,ENSMUST00000199822,predicted gene 8539 [Source:MGI Symbol;Acc:MGI:3779802],Gm8539,Gm8539-201
ENSMUSG00000036568,ENSMUST00000040624,BRD4 interacting chromatin remodeling complex associated protein like [Source:MGI Symbol;Acc:MGI:2673855],Bicral,Bicral-201
ENSMUSG00000036568,ENSMUST00000233537,BRD4 interacting chromatin remodeling complex associated protein like [Source:MGI Symbol;Acc:MGI:2673855],Bicral,Bicral-204
ENSMUSG00000036568,ENSMUST00000233142,BRD4 interacting chromatin remodeling complex associated protein like [Source:MGI Symbol;Acc:MGI:2673855],Bicral,Bicral-202
ENSMUSG00000036568,ENSMUST00000233455,BRD4 interacting chromatin remodeling complex associated protein like [Source:MGI Symbol;Acc:MGI:2673855],Bicral,Bicral-203
ENSMUSG00000061184,ENSMUST00000059424,"transmembrane protease, serine 11c [Source:MGI Symbol;Acc:MGI:3521861]",Tmprss11c,Tmprss11c-201
ENSMUSG00000061184,ENSMUST00000196462,"transmembrane protease, serine 11c [Source:MGI Symbol;Acc:MGI:3521861]",Tmprss11c,Tmprss11c-202
ENSMUSG00000083445,ENSMUST00000122144,predicted gene 15038 [Source:MGI Symbol;Acc:MGI:3705689],Gm15038,Gm15038-201
ENSMUSG00000087149,ENSMUST00000145639,inter-alpha-trypsin inhibitor heavy chain family member 6 [Source:MGI Symbol;Acc:MGI:2685232],Itih6,Itih6-201
ENSMUSG00000062929,ENSMUST00000223450,"cofilin 2, muscle [Source:MGI Symbol;Acc:MGI:101763]",Cfl2,Cfl2-206
ENSMUSG00000062929,ENSMUST00000078124,"cofilin 2, muscle [Source:MGI Symbol;Acc:MGI:101763]",Cfl2,Cfl2-201
ENSMUSG00000062929,ENSMUST00000221374,"cofilin 2, muscle [Source:MGI Symbol;Acc:MGI:101763]",Cfl2,Cfl2-203
ENSMUSG00000062929,ENSMUST00000223320,"cofilin 2, muscle [Source:MGI Symbol;Acc:MGI:101763]",Cfl2,Cfl2-205
ENSMUSG00000062929,ENSMUST00000221088,"cofilin 2, muscle [Source:MGI Symbol;Acc:MGI:101763]",Cfl2,Cfl2-202
ENSMUSG00000062929,ENSMUST00000223095,"cofilin 2, muscle [Source:MGI Symbol;Acc:MGI:101763]",Cfl2,Cfl2-204
ENSMUSG00000120470,ENSMUST00000243554,"novel transcript, antisense to Atad1",,
ENSMUSG00000119982,ENSMUST00000240919,novel transcript,,
ENSMUSG00000120203,ENSMUST00000241851,novel transcript,,
ENSMUSG00000121322,ENSMUST00000154172,novel transcript,,
ENSMUSG00000121322,ENSMUST00000148862,novel transcript,,
ENSMUSG00002074891,ENSMUST00020182449,"predicted gene, 54641 [Source:MGI Symbol;Acc:MGI:6845760]",Gm54641,Gm54641-201
ENSMUSG00000117664,ENSMUST00000236569,"predicted gene, 36860 [Source:MGI Symbol;Acc:MGI:5596019]",Gm36860,Gm36860-201
ENSMUSG00000013663,ENSMUST00000013807,phosphatase and tensin homolog [Source:MGI Symbol;Acc:MGI:109583],Pten,Pten-201
ENSMUSG00000013663,ENSMUST00000249247,phosphatase and tensin homolog [Source:MGI Symbol;Acc:MGI:109583],Pten,Pten-204
ENSMUSG00000013663,ENSMUST00000140014,phosphatase and tensin homolog [Source:MGI Symbol;Acc:MGI:109583],Pten,Pten-202
ENSMUSG00000013663,ENSMUST00000154806,phosphatase and tensin homolog [Source:MGI Symbol;Acc:MGI:109583],Pten,Pten-203
ENSMUSG00000118608,ENSMUST00000239181,predicted gene 4988 [Source:MGI Symbol;Acc:MGI:3647289],Gm4988,Gm4988-201
ENSMUSG00000114726,ENSMUST00000225810,"predicted gene, 48900 [Source:MGI Symbol;Acc:MGI:6098667]",Gm48900,Gm48900-201
ENSMUSG00000086395,ENSMUST00000150973,RIKEN cDNA A630014C17 gene [Source:MGI Symbol;Acc:MGI:3026989],A630014C17Rik,A630014C17Rik-201
ENSMUSG00000055560,ENSMUST00000056470,zinc finger protein 459 [Source:MGI Symbol;Acc:MGI:3040701],Zfp459,Zfp459-201
ENSMUSG00000055560,ENSMUST00000224113,zinc finger protein 459 [Source:MGI Symbol;Acc:MGI:3040701],Zfp459,Zfp459-203
ENSMUSG00000055560,ENSMUST00000223644,zinc finger protein 459 [Source:MGI Symbol;Acc:MGI:3040701],Zfp459,Zfp459-202
